PowerheadSKU,AttachmentModel,AttachmentSTIHLSKU,AttachmmentName,AK10_Compatible,AK10_RuntimeMin,AK10_RuntimeMax,AK20_Compatible,AK20_RuntimeLow,AK20_RuntimeHigh,AK30_Compatible,AK30_RuntimeLow,AK30_RuntimeHigh,AK30S_Compatible,AK30S_RuntimeLow,AK30S_RuntimeHigh,AP200S_Compatible,AP200S_RuntimeLow,AP200S_RuntimeHigh,AP300S_Compatible,AP300S_RuntimeLow,AP300S_RuntimeHigh,AP500S_Compatible,AP500S_RuntimeLow,AP500S_RuntimeHigh,AR2000L_Compatible,AR2000L_RuntimeLow,AR2000L_RuntimeHigh,AR3000L_Compatible,AR3000L_RuntimeLow,AR3000L_RuntimeHigh,RuntimeNote
KMA80R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",TRUE, , ,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FSB-KM,4137 740 5009 US,FSB-KM Curved Shaft Trimmer,TRUE, , ,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HT-KM,4140 710 7143,"HT-KM Steel Shaft Extension (37"")",TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FS-KM_TRIMMER,4180 200 0471 US,FS-KM Straight Shaft Trimmer,TRUE,10,,TRUE,20,,TRUE,25,,TRUE,25,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FS-KM_BLADE,4180 200 0472 US,FS-KM 4-Tooth Grass Blade,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FBD-KM,4180 740 5000 US,FBD-KM Bed Redefiner,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FCB-KM,4180 740 5003 US,FCB-KM Curved Lawn Edger,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,RG-KM,4180 740 5007 US,RG-KM Reciprocator,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FCS-KM,4180 740 5009 US,FCS-KM Straight Lawn Edger,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HT-KM_12IN,4182 200 0210 US,"HT-KM Pruner - 12"" Bar",TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,BG-KM,4606 740 5001 US,BG-KM Blower,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FSS-KM,FA03 200 0021 US,FSS-KM Hi-Torque Trimmer Attachment,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA120R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FSB-KM,4137 740 5009 US,FSB-KM Curved Shaft Trimmer,FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,HT-KM,4140 710 7143,"HT-KM Steel Shaft Extension (37"")",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FS-KM_TRIMMER,4180 200 0471 US,FS-KM Straight Shaft Trimmer,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,14,30,TRUE,22,47,TRUE,26,54,TRUE,200,,TRUE,300,,
KMA120R,FS-KM_BLADE,4180 200 0472 US,FS-KM 4-Tooth Grass Blade,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FBD-KM,4180 740 5000 US,FBD-KM Bed Redefiner,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FCB-KM,4180 740 5003 US,FCB-KM Curved Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,RG-KM,4180 740 5007 US,RG-KM Reciprocator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FCS-KM,4180 740 5009 US,FCS-KM Straight Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,HT-KM_12IN,4182 200 0210 US,"HT-KM Pruner - 12"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
